CORE,Homogenization,1.5kPa_ml,15kPa_ml,50kPa_ml,DOC_1.5kPa_mgL.1,DN_1.5kPa_mgL.1,DOC_15kPa_mgL.1,DN_15kPa_mgL.1,DOC_50kPa_mgL.1,DN_50kPa_mgL.1
1, Intact,13.37,3.71,0.8,8.88,,19.32,,,
1,Homogenized,17.85,3.17,1.04,12.55,,16.48,,24.3,1.95
10, Intact,15.29,1.45,5.77,5832,5.15,12106.49,22.08,19066,22.44
10,Homogenized,1.14,1.14,3.35,213.31,,238.99,,266.4,
12, Intact,18.7,5.02,5.55,6.85,660,22.8,1611.4,18.55,1137.6
12,Homogenized,2.773,1.12,6.47,8.25,,8.45,,1.82,
13, Intact,14.63,5.72,5.84,,137.9,4.33,903.8,6.02,901.6
13,Homogenized,15.96,2.32,6.23,,3.99,19.61,20.67,13.84,33.82
14, Intact,18.56,7.57,0.92,17.2,,37.96,3.8,34.24,2.31
14,Homogenized,6.82,3.01,2,482.4,,700.2,4.03,500.6,0.9218
15, Intact,12.6,1.27,6.05,,,57.76,3.86,27.66,
15,Homogenized,2.8,3.22,2.19,2990,9.91,17392,,28032,2.31
17, Intact,11.62,2.38,6.06,2.47,,27.29,2.02,39.18,
17,Homogenized,19.02,0.66,2.61,547.8,,50680,7.25,20518.48,12.24
18, Intact,13.01,5.53,7.14,3.3,,8.22,,17.59,
18,Homogenized,13.96,1.55,3.43,3.63,,15.43,,14.8,
19, Intact,9.85,15.81,4.55,212.4,,11584,8.21,22500,19.94
19,Homogenized,5.58,3.23,10.1,23.9,,818.4,4.38,2433,33.24
20, Intact,13.33,0,3,6219,3.37,,,18.3,6.08
20,Homogenized,6.6,3.17,5.34,92.76,0.25,789.8,2.78,1420.6,
22, Intact,16.85,4.84,4.05,2839,,15918,4.8,17302,7.85
22,Homogenized,1.9,4.06,0.59,87.34,,78.32,,,
24, Intact,9.99,5.46,3.62,13.32,880.4,10.2,1314,11.56,1675.2
24,Homogenized,30.13,1.42,1.96,15.89,568.4,18.43,790.53,21.62,797.54
25, Intact,26.18,0.94,4.53,19.3,2162,,,15.4,1492.6
25,Homogenized,23.37,1.58,5.03,14.95,175.1,54.03,205.27,30.54,133.86
26, Intact,15.19,3.61,2.43,14.06,,31.42,2,22.32,
26,Homogenized,16.72,2.62,5.26,9.14,,24.01,,19.64,2.16
27, Intact,21.04,0,0,,,,,,
27,Homogenized,20.56,4.42,0.8,2.5,,9.61,,158.48,3.77
28, Intact,13.77,14.72,0.81,1.78,356.4,19.14,1890.8,27.62,1216.87
28,Homogenized,19.17,3.61,5.7,7.38,46.78,30.34,87.58,30.28,139.96
29, Intact,16.09,7.42,1.24,21300,10.02,14054,8.63,30204.45,17.85
29,Homogenized,8.95,3.31,5.26,30.64,3.2,399.8,18.1,305.2,8.21
3, Intact,16.7,14.176,2.16,7078,7.13,36024,33.94,16651.33,36.22
3,Homogenized,6.9,1.31,6.23,4.5,,,,355.6,12.99
32, Intact,24.65,3.1,5.69,13.84,964.2,11.69,1828.8,15.91,1830.6
32,Homogenized,26.83,1.67,8.52,4.7,82.26,19.32,72.94,7.52,128.94
33, Intact,18.95,0.18,0.01,5304,9.39,,,,
33,Homogenized,6.7,0.83,3.06,6.34,0.42,32.85,2.33,17.83,
35, Intact,16.64,35.58,7.06,3031,2.42,21912,23.88,25160,25.24
35,Homogenized,9.39,2.76,11.83,16.55,1.04,378.37,11.88,2032,57.66
36, Intact,21.62,2.19,1.03,5947,8.88,8264,12.51,6062.3,9.28
36,Homogenized,3.6,5.81,1,44.14,7.69,46.06,0.49,229.92,2.27
37, Intact,9.12,2.57,4.67,7.57,,16.75,,16.97,
37,Homogenized,18.44,1.69,3.9,10.72,,20.48,,18.46,
38, Intact,15.48,2.775,1.49,1355,,8096,,6395.27,4.17
38,Homogenized,19.48,0.24,0.91,43.62,,,,,
39, Intact,10.77,1.14,5.95,1.79,,33.79,2.44,29.32,5.24
39,Homogenized,17.6,0.59,2.57,2254,,,,32986.84,3.54
4, Intact,21.96,2.97,1.2,7.21,1112.6,18.97,1622.6,19.9,1798.35
4,Homogenized,5.52,1.44,3.27,79.22,,403.55,,142.64,56.54
40, Intact,7.51,0.56,0,,,,,13.4,
40,Homogenized,20.06,0.88,1.97,21.9,4.9,215.19,3.01,,
43, Intact,2.22,1.5,4.32,20.04,208.8,10.31,737.68,8.69,974.8
43,Homogenized,26.8,2.57,2.5,14.38,110.62,26.98,195.24,25.14,170.36
44, Intact,10.59,2.81,4.46,,107.78,9.46,744.2,14.55,1143.8
44,Homogenized,20.49,6.29,0.92,11.2,107.14,51.5,274.8,24.04,71.02
45, Intact,5.07,1.55,3.99,1.44,22.36,4.08,407.11,6.23,1082.2
45,Homogenized,3.27,0.84,5.24,12.12,47.9,,,119.4,817.4
47, Intact,23.62,3.2,0.93,,523.8,11.9,1775.4,9.14,1259.54
47,Homogenized,28.3,0.27,0,4.21,22.84,,,,
48, Intact,3.63,2.06,2.73,7.46,,11.96,,16.99,
48,Homogenized,10.31,1.5,1.33,15.45,,29.53,,31.01,
5, Intact,15.71,2.97,0.94,74,2346,96.28,2839.16,,
5,Homogenized,11.06,5.21,2.76,3.21,30.44,16.13,151.2,42.94,130.36
50, Intact,18.82,6.04,5.92,7056,9.42,21060,33.72,18570,32.84
50,Homogenized,13.13,7.53,4.63,372.6,2.84,3204,31.88,4121,49.6
51, Intact,17.21,5.23,4.25,11.21,3.63,35.02,,40.78,6.01
51,Homogenized,15.48,4,2.65,95.32,2.97,1281,2.39,3379,1.96
52, Intact,22.19,2.9,7.93,6.01,,15.54,2.47,19.25,2.55
52,Homogenized,28.86,0.44,2.58,778.4,,6992.79,,8102,4.54
53, Intact,14.31,2.81,4.16,5.95,,11.89,,13.67,
53,Homogenized,16.72,2.37,3.24,3.88,,15.24,,15.53,1.76
54, Intact,16.28,2.37,6.08,10958,12.83,2788.4,33.2,28900,39.22
54,Homogenized,9.83,3.23,4.93,3.44,,62.44,,642.4,15.41
55, Intact,13.68,9.48,5.27,4029,2.04,11926,4.4,13292,9.05
56, Intact,25.03,1.18,4.27,8176,1.25,14730.89,5.87,15752,
56,Homogenized,21.74,1.31,4.03,577,3.87,1691.26,10.2,1791.8,10.57
58, Intact,19.82,7.31,3.53,10.49,521,22.48,1473,24.96,856.8
58,Homogenized,21,0.58,0,3.04,9.16,,,,
59, Intact,3.36,0.82,1.25,9.39,688.4,18.43,652.2,17.09,977.4
59,Homogenized,29.98,0.92,1.77,19.25,839.8,,,46.76,1204.63
6, Intact,11.75,15,1.44,1753.6,,11762,5.5,13084.41,13.09
6,Homogenized,4.99,7.2,1.45,122.82,2.02,5.93,0.71,,
60, Intact,20.27,0.85,0,13.71,,,,,
60,Homogenized,21.83,2.19,6.08,15.33,2.23,16.87,2.89,16.04,
62, Intact,24.82,0.85,1.98,43.56,3124,25.37,2382.31,28.4,2499.04
62,Homogenized,26.91,2.82,2.84,22.34,3.78,5.91,6.59,37.92,11.76
63, Intact,19.8,8.56,1.16,,636.2,9.79,2102,14.16,1468.2
63,Homogenized,23.02,7.48,2.47,4.07,4.49,8.65,28.44,18.5,58.22
7, Intact,17.54,1.99,6,10496,4,19584,9.14,19190,10.23
7,Homogenized,18.59,1.83,4.52,490.4,3.65,1256.73,14.67,1332.4,5.88
8, Intact,18.78,1.84,5.88,6.64,,28.64,1.83,32.1,1.85
8,Homogenized,16.05,1.37,3.72,11.6,,22,3.18,24.84,1.8