FTICR_ID,Core,Suction,Soil_Moisture,Rewetting,Amendments,Homogenization,cumCO2-C_mg,cumCH4-C_mg,Porosity,water_Imbibed,_WFPS
LIntCal_0_80,1,1.5,Field Moisture,precipitation,control,Homogenized,0.00142809,2.43E-10,0.574869153,24.41,42.46183652
LIntCal_0_85,1,15,Field Moisture,precipitation,control,Homogenized,0.00142809,2.43E-10,0.574869153,24.41,42.46183652
LIntCal_0_18,1,1.5,Field Moisture,precipitation,control,Intact,0.00186757,8.20E-10,0.568679116,21.85,38.42237105
LIntCal_0_34,1,15,Field Moisture,precipitation,control,Intact,0.00186757,8.20E-10,0.568679116,21.85,38.42237105
LIntCal_0_7,1,50,Field Moisture,precipitation,control,Intact,0.00186757,8.20E-10,0.568679116,21.85,38.42237105
LIntCal_0_284,10,15,Drought Induced,precipitation,C,Homogenized,0.00252096,1.84E-09,0.578554551,28,48.39647347
LIntCal_0_160,10,50,Drought Induced,precipitation,C,Homogenized,0.00252096,1.84E-09,0.578554551,28,48.39647347
LIntCal_0_232,10,1.5,Drought Induced,precipitation,C,Intact,0.00349137,1.86E-09,0.581294001,31.67,54.48189723
LIntCal_0_220,10,15,Drought Induced,precipitation,C,Intact,0.00349137,1.86E-09,0.581294001,31.67,54.48189723
LIntCal_0_231,10,50,Drought Induced,precipitation,C,Intact,0.00349137,1.86E-09,0.581294001,31.67,54.48189723
LIntCal_0_130,12,1.5,Field Moisture,precipitation,N,Homogenized,0.00156786,5.90E-10,0.562607967,23.41,41.60979114
LIntCal_0_76,12,15,Field Moisture,precipitation,N,Homogenized,0.00156786,5.90E-10,0.562607967,23.41,41.60979114
LIntCal_0_124,12,50,Field Moisture,precipitation,N,Homogenized,0.00156786,5.90E-10,0.562607967,23.41,41.60979114
LIntCal_0_5,12,1.5,Field Moisture,precipitation,N,Intact,0.00324777,1.31E-09,0.553406082,22.48,40.62116541
LIntCal_0_43,12,15,Field Moisture,precipitation,N,Intact,0.00324777,1.31E-09,0.553406082,22.48,40.62116541
LIntCal_0_9,12,50,Field Moisture,precipitation,N,Intact,0.00324777,1.31E-09,0.553406082,22.48,40.62116541
LIntCal_0_86,13,1.5,Field Moisture,groundwater rise,N,Homogenized,0.00139597,7.92E-10,0.560181513,16.28,29.06200871
LIntCal_0_109,13,15,Field Moisture,groundwater rise,N,Homogenized,0.00139597,7.92E-10,0.560181513,16.28,29.06200871
LIntCal_0_98,13,50,Field Moisture,groundwater rise,N,Homogenized,0.00139597,7.92E-10,0.560181513,16.28,29.06200871
LIntCal_0_61,13,1.5,Field Moisture,groundwater rise,N,Intact,0.00110489,4.88E-11,0.547455334,12.22,22.32145574
LIntCal_0_28,13,15,Field Moisture,groundwater rise,N,Intact,0.00110489,4.88E-11,0.547455334,12.22,22.32145574
LIntCal_0_53,13,50,Field Moisture,groundwater rise,N,Intact,0.00110489,4.88E-11,0.547455334,12.22,22.32145574
LIntCal_0_261,14,1.5,Drought Induced,precipitation,control,Homogenized,0.00316585,3.90E-09,0.524725567,29.51,56.23892153
LIntCal_0_285,14,50,Drought Induced,precipitation,control,Homogenized,0.00316585,3.90E-09,0.524725567,29.51,56.23892153
LIntCal_0_187,14,1.5,Drought Induced,precipitation,control,Intact,0.00303178,1.55E-09,0.57683835,26.43,45.81872891
LIntCal_0_257,14,15,Drought Induced,precipitation,control,Intact,0.00303178,1.55E-09,0.57683835,26.43,45.81872891
LIntCal_0_188,14,50,Drought Induced,precipitation,control,Intact,0.00303178,1.55E-09,0.57683835,26.43,45.81872891
LIntCal_0_223,15,15,Drought Induced,groundwater rise,control,Homogenized,0.00282063,1.10E-09,0.537990982,39.15,72.77073651
LIntCal_0_202,15,50,Drought Induced,groundwater rise,control,Homogenized,0.00282063,1.10E-09,0.537990982,39.15,72.77073651
LIntCal_0_212,15,1.5,Drought Induced,groundwater rise,control,Intact,0.00080541,2.36E-09,0.553509024,23.4,42.27573355
LIntCal_0_267,15,15,Drought Induced,groundwater rise,control,Intact,0.00080541,2.36E-09,0.553509024,23.4,42.27573355
LIntCal_0_237,15,50,Drought Induced,groundwater rise,control,Intact,0.00080541,2.36E-09,0.553509024,23.4,42.27573355
LIntCal_0_225,17,1.5,Drought Induced,precipitation,control,Homogenized,0.00231663,6.22E-09,0.542316725,28.38,52.33104324
LIntCal_0_227,17,15,Drought Induced,precipitation,control,Homogenized,0.00231663,6.22E-09,0.542316725,28.38,52.33104324
LIntCal_0_265,17,50,Drought Induced,precipitation,control,Homogenized,0.00231663,6.22E-09,0.542316725,28.38,52.33104324
LIntCal_0_192,17,1.5,Drought Induced,precipitation,control,Intact,0.00236293,2.21E-09,0.549806809,27.06,49.21728791
LIntCal_0_180,17,15,Drought Induced,precipitation,control,Intact,0.00236293,2.21E-09,0.549806809,27.06,49.21728791
LIntCal_0_205,17,50,Drought Induced,precipitation,control,Intact,0.00236293,2.21E-09,0.549806809,27.06,49.21728791
LIntCal_0_114,18,1.5,Field Moisture,precipitation,control,Homogenized,0.00194383,4.37E-09,0.595344749,13.11,22.02085434
LIntCal_0_119,18,15,Field Moisture,precipitation,control,Homogenized,0.00194383,4.37E-09,0.595344749,13.11,22.02085434
LIntCal_0_126,18,50,Field Moisture,precipitation,control,Homogenized,0.00194383,4.37E-09,0.595344749,13.11,22.02085434
LIntCal_0_72,18,1.5,Field Moisture,precipitation,control,Intact,0.00090956,2.53E-09,0.586740046,18.43,31.41084389
LIntCal_0_68,18,15,Field Moisture,precipitation,control,Intact,0.00090956,2.53E-09,0.586740046,18.43,31.41084389
LIntCal_0_57,18,50,Field Moisture,precipitation,control,Intact,0.00090956,2.53E-09,0.586740046,18.43,31.41084389
LIntCal_0_133,19,1.5,Field Moisture,precipitation,C,Homogenized,0.00165703,1.54E-09,0.541348772,23.35,43.13300631
LIntCal_0_79,19,15,Field Moisture,precipitation,C,Homogenized,0.00165703,1.54E-09,0.541348772,23.35,43.13300631
LIntCal_0_138,19,50,Field Moisture,precipitation,C,Homogenized,0.00165703,1.54E-09,0.541348772,23.35,43.13300631
LIntCal_0_16,19,1.5,Field Moisture,precipitation,C,Intact,0.00334545,1.74E-09,0.527336857,26.88,50.97311077
LIntCal_0_6,19,15,Field Moisture,precipitation,C,Intact,0.00334545,1.74E-09,0.527336857,26.88,50.97311077
LIntCal_0_10,19,50,Field Moisture,precipitation,C,Intact,0.00334545,1.74E-09,0.527336857,26.88,50.97311077
LIntCal_0_172,20,1.5,Drought Induced,groundwater rise,C,Homogenized,0.00319165,1.99E-09,0.506972129,41.24,81.3456946
LIntCal_0_222,20,15,Drought Induced,groundwater rise,C,Homogenized,0.00319165,1.99E-09,0.506972129,41.24,81.3456946
LIntCal_0_240,20,50,Drought Induced,groundwater rise,C,Homogenized,0.00319165,1.99E-09,0.506972129,41.24,81.3456946
LIntCal_0_235,20,1.5,Drought Induced,groundwater rise,C,Intact,0.0076426,7.27E-10,0.523514564,32.06,61.23993909
LIntCal_0_281,20,15,Drought Induced,groundwater rise,C,Intact,0.0076426,7.27E-10,0.523514564,32.06,61.23993909
LIntCal_0_226,20,50,Drought Induced,groundwater rise,C,Intact,0.0076426,7.27E-10,0.523514564,32.06,61.23993909
LIntCal_0_108,22,1.5,Field Moisture,groundwater rise,C,Homogenized,0.00186702,5.98E-10,0.579232046,14.14,24.41163276
LIntCal_0_135,22,15,Field Moisture,groundwater rise,C,Homogenized,0.00186702,5.98E-10,0.579232046,14.14,24.41163276
LIntCal_0_140,22,50,Field Moisture,groundwater rise,C,Homogenized,0.00186702,5.98E-10,0.579232046,14.14,24.41163276
LIntCal_0_69,22,1.5,Field Moisture,groundwater rise,C,Intact,0.00109471,1.03E-09,0.567657085,12.73,22.42551065
LIntCal_0_51,22,15,Field Moisture,groundwater rise,C,Intact,0.00109471,1.03E-09,0.567657085,12.73,22.42551065
LIntCal_0_60,22,50,Field Moisture,groundwater rise,C,Intact,0.00109471,1.03E-09,0.567657085,12.73,22.42551065
LIntCal_0_149,24,1.5,Drought Induced,groundwater rise,N,Homogenized,0.00126925,9.58E-10,0.507260743,39.96,78.77605455
LIntCal_0_162,24,15,Drought Induced,groundwater rise,N,Homogenized,0.00126925,9.58E-10,0.507260743,39.96,78.77605455
LIntCal_0_248,24,50,Drought Induced,groundwater rise,N,Homogenized,0.00126925,9.58E-10,0.507260743,39.96,78.77605455
LIntCal_0_230,24,1.5,Drought Induced,groundwater rise,N,Intact,0.00166312,2.52E-10,0.519220883,31.33,60.34040812
LIntCal_0_270,24,15,Drought Induced,groundwater rise,N,Intact,0.00166312,2.52E-10,0.519220883,31.33,60.34040812
LIntCal_0_216,24,50,Drought Induced,groundwater rise,N,Intact,0.00166312,2.52E-10,0.519220883,31.33,60.34040812
LIntCal_0_152,25,1.5,Drought Induced,precipitation,N,Homogenized,0.00052032,2.74E-09,0.515187441,30.69,59.57055156
LIntCal_0_166,25,15,Drought Induced,precipitation,N,Homogenized,0.00052032,2.74E-09,0.515187441,30.69,59.57055156
LIntCal_0_266,25,50,Drought Induced,precipitation,N,Homogenized,0.00052032,2.74E-09,0.515187441,30.69,59.57055156
LIntCal_0_175,25,1.5,Drought Induced,precipitation,N,Intact,0.00180121,1.30E-09,0.520250606,30.69,58.99080101
LIntCal_0_263,25,50,Drought Induced,precipitation,N,Intact,0.00180121,1.30E-09,0.520250606,30.69,58.99080101
LIntCal_0_73,26,1.5,Field Moisture,groundwater rise,control,Homogenized,0.00054966,1.47E-09,0.571368413,30.84,53.97568245
LIntCal_0_92,26,15,Field Moisture,groundwater rise,control,Homogenized,0.00054966,1.47E-09,0.571368413,30.84,53.97568245
LIntCal_0_89,26,50,Field Moisture,groundwater rise,control,Homogenized,0.00054966,1.47E-09,0.571368413,30.84,53.97568245
LIntCal_0_20,26,1.5,Field Moisture,groundwater rise,control,Intact,0.00126858,9.96E-10,0.560214585,20.64,36.84302505
LIntCal_0_56,26,15,Field Moisture,groundwater rise,control,Intact,0.00126858,9.96E-10,0.560214585,20.64,36.84302505
LIntCal_0_15,26,50,Field Moisture,groundwater rise,control,Intact,0.00126858,9.96E-10,0.560214585,20.64,36.84302505
LIntCal_0_271,27,1.5,Drought Induced,groundwater rise,control,Homogenized,0.028624339,7.11E-10,0.506022845,38.48,76.04399761
LIntCal_0_186,27,15,Drought Induced,groundwater rise,control,Homogenized,0.028624339,7.11E-10,0.506022845,38.48,76.04399761
LIntCal_0_201,27,1.5,Drought Induced,groundwater rise,control,Intact,0.010226411,1.80E-09,0.547529492,29.46,53.80532083
LIntCal_0_134,28,1.5,Field Moisture,precipitation,N,Homogenized,0.00134312,1.01E-09,0.540802345,19.49,36.03904491
LIntCal_0_104,28,15,Field Moisture,precipitation,N,Homogenized,0.00134312,1.01E-09,0.540802345,19.49,36.03904491
LIntCal_0_131,28,50,Field Moisture,precipitation,N,Homogenized,0.00134312,1.01E-09,0.540802345,19.49,36.03904491
LIntCal_0_45,28,1.5,Field Moisture,precipitation,N,Intact,0.00157319,6.69E-10,0.533652327,24.31,45.55400357
LIntCal_0_22,28,15,Field Moisture,precipitation,N,Intact,0.00157319,6.69E-10,0.533652327,24.31,45.55400357
LIntCal_0_36,28,50,Field Moisture,precipitation,N,Intact,0.00157319,6.69E-10,0.533652327,24.31,45.55400357
LIntCal_0_287,29,1.5,Drought Induced,precipitation,C,Homogenized,0.00046255,2.96E-09,0.547071856,41.5,75.85840784
LIntCal_0_219,29,15,Drought Induced,precipitation,C,Homogenized,0.00046255,2.96E-09,0.547071856,41.5,75.85840784
LIntCal_0_218,29,50,Drought Induced,precipitation,C,Homogenized,0.00046255,2.96E-09,0.547071856,41.5,75.85840784
LIntCal_0_184,29,1.5,Drought Induced,precipitation,C,Intact,0.00123248,1.32E-09,0.529314639,25.58,48.32664377
LIntCal_0_206,29,15,Drought Induced,precipitation,C,Intact,0.00123248,1.32E-09,0.529314639,25.58,48.32664377
LIntCal_0_113,3,1.5,Field Moisture,precipitation,C,Homogenized,0.00061476,1.55E-09,0.562341324,24.69,43.90571876
LIntCal_0_81,3,15,Field Moisture,precipitation,C,Homogenized,0.00061476,1.55E-09,0.562341324,24.69,43.90571876
LIntCal_0_91,3,50,Field Moisture,precipitation,C,Homogenized,0.00061476,1.55E-09,0.562341324,24.69,43.90571876
LIntCal_0_44,3,1.5,Field Moisture,precipitation,C,Intact,0.00932929,2.69E-10,0.555229263,25.69,46.26917515
LIntCal_0_8,3,15,Field Moisture,precipitation,C,Intact,0.00932929,2.69E-10,0.555229263,25.69,46.26917515
LIntCal_0_27,3,50,Field Moisture,precipitation,C,Intact,0.00932929,2.69E-10,0.555229263,25.69,46.26917515
LIntCal_0_std2_day2,32,1.5,Field Moisture,groundwater rise,N,Homogenized,0.00292545,1.10E-09,0.558155382,26.6,47.65698019
LIntCal_0_144,32,50,Field Moisture,groundwater rise,N,Homogenized,0.00292545,1.10E-09,0.558155382,26.6,47.65698019
LIntCal_0_std1_day2,32,1.5,Field Moisture,groundwater rise,N,Intact,0.00207497,2.80E-09,0.553175207,24.83,44.88632117
LIntCal_0_58,32,15,Field Moisture,groundwater rise,N,Intact,0.00207497,2.80E-09,0.553175207,24.83,44.88632117
LIntCal_0_26,32,50,Field Moisture,groundwater rise,N,Intact,0.00207497,2.80E-09,0.553175207,24.83,44.88632117
LIntCal_0_264,33,1.5,Drought Induced,precipitation,C,Homogenized,0.00047711,7.11E-10,0.562860066,25.7,45.65966134
LIntCal_0_277,33,15,Drought Induced,precipitation,C,Homogenized,0.00047711,7.11E-10,0.562860066,25.7,45.65966134
LIntCal_0_250true,33,50,Drought Induced,precipitation,C,Homogenized,0.00047711,7.11E-10,0.562860066,25.7,45.65966134
LIntCal_0_198,33,1.5,Drought Induced,precipitation,C,Intact,0.00117202,9.76E-10,0.544736731,31.87,58.50532596
LIntCal_0_99,35,1.5,Field Moisture,precipitation,C,Homogenized,0.00140629,1.75E-09,0.565654165,24.93,44.07286561
LIntCal_0_94,35,15,Field Moisture,precipitation,C,Homogenized,0.00140629,1.75E-09,0.565654165,24.93,44.07286561
LIntCal_0_103,35,50,Field Moisture,precipitation,C,Homogenized,0.00140629,1.75E-09,0.565654165,24.93,44.07286561
LIntCal_0_33,35,1.5,Field Moisture,precipitation,C,Intact,0.00291263,4.05E-09,0.553173424,24.24,43.81989251
LIntCal_0_59,35,50,Field Moisture,precipitation,C,Intact,0.00291263,4.05E-09,0.553173424,24.24,43.81989251
LIntCal_0_181,36,15,Drought Induced,groundwater rise,C,Homogenized,0.00643901,1.47E-09,0.582506052,35.27,60.54872716
LIntCal_0_276,36,50,Drought Induced,groundwater rise,C,Homogenized,0.00643901,1.47E-09,0.582506052,35.27,60.54872716
LIntCal_0_169,36,1.5,Drought Induced,groundwater rise,C,Intact,0.00382916,1.12E-09,0.624664729,32.38,51.83580648
LIntCal_0_174,36,15,Drought Induced,groundwater rise,C,Intact,0.00382916,1.12E-09,0.624664729,32.38,51.83580648
LIntCal_0_238,36,50,Drought Induced,groundwater rise,C,Intact,0.00382916,1.12E-09,0.624664729,32.38,51.83580648
LIntCal_0_88,37,1.5,Field Moisture,precipitation,control,Homogenized,0.00332351,1.07E-09,0.568108935,26,45.7658706
LIntCal_0_116,37,15,Field Moisture,precipitation,control,Homogenized,0.00332351,1.07E-09,0.568108935,26,45.7658706
LIntCal_0_112,37,50,Field Moisture,precipitation,control,Homogenized,0.00332351,1.07E-09,0.568108935,26,45.7658706
LIntCal_0_42,37,1.5,Field Moisture,precipitation,control,Intact,0.00150739,1.42E-09,0.553167311,7.5,13.55828491
LIntCal_0_30,37,15,Field Moisture,precipitation,control,Intact,0.00150739,1.42E-09,0.553167311,7.5,13.55828491
LIntCal_0_17,37,50,Field Moisture,precipitation,control,Intact,0.00150739,1.42E-09,0.553167311,7.5,13.55828491
LIntCal_0_107,38,1.5,Field Moisture,groundwater rise,C,Homogenized,0.00388705,2.59E-09,0.621245261,12.36,19.89552401
LIntCal_0_83,38,50,Field Moisture,groundwater rise,C,Homogenized,0.00388705,2.59E-09,0.621245261,12.36,19.89552401
LIntCal_0_14,38,1.5,Field Moisture,groundwater rise,C,Intact,0.00371933,3.50E-09,0.607864477,5.27,8.669695631
