FTICR_ID,Core,Suction,Soil_Moisture,Rewetting,Amendments,Homogenization,cumCO2-C_mg,cumCH4-C_mg,Porosity,water_Imbibed,_WFPS
LIntCal_0_54,38,15,Field Moisture,groundwater rise,C,Intact,0.00371933,3.50E-09,0.607864477,5.27,8.669695631
LIntCal_0_46,38,50,Field Moisture,groundwater rise,C,Intact,0.00371933,3.50E-09,0.607864477,5.27,8.669695631
LIntCal_0_191,39,1.5,Drought Induced,precipitation,control,Homogenized,0.00300436,2.48E-09,0.537828935,29.01,53.93908378
LIntCal_0_249,39,15,Drought Induced,precipitation,control,Homogenized,0.00300436,2.48E-09,0.537828935,29.01,53.93908378
LIntCal_0_211,39,50,Drought Induced,precipitation,control,Homogenized,0.00300436,2.48E-09,0.537828935,29.01,53.93908378
LIntCal_0_282,39,1.5,Drought Induced,precipitation,control,Intact,0.00183265,4.09E-10,0.52857469,27.07,51.2131975
LIntCal_0_269,39,15,Drought Induced,precipitation,control,Intact,0.00183265,4.09E-10,0.52857469,27.07,51.2131975
LIntCal_0_279,39,50,Drought Induced,precipitation,control,Intact,0.00183265,4.09E-10,0.52857469,27.07,51.2131975
LIntCal_0_159,4,1.5,Drought Induced,groundwater rise,N,Homogenized,0.00310234,2.20E-09,0.538527669,36.74,68.22304981
LIntCal_0_251,4,50,Drought Induced,groundwater rise,N,Homogenized,0.00310234,2.20E-09,0.538527669,36.74,68.22304981
LIntCal_0_161,4,1.5,Drought Induced,groundwater rise,N,Intact,0.00178388,1.27E-09,0.55328065,31.32,56.60779927
LIntCal_0_195,4,15,Drought Induced,groundwater rise,N,Intact,0.00178388,1.27E-09,0.55328065,31.32,56.60779927
LIntCal_0_252,40,1.5,Drought Induced,groundwater rise,control,Homogenized,0.015794685,1.41E-09,0.541726372,30.67,56.61529807
LIntCal_0_229,40,15,Drought Induced,groundwater rise,control,Homogenized,0.015794685,1.41E-09,0.541726372,30.67,56.61529807
LIntCal_0_233,40,50,Drought Induced,groundwater rise,control,Homogenized,0.015794685,1.41E-09,0.541726372,30.67,56.61529807
LIntCal_0_268,40,1.5,Drought Induced,groundwater rise,control,Intact,0.00185614,1.09E-09,0.580482824,22.4,38.5885664
LIntCal_0_258,40,15,Drought Induced,groundwater rise,control,Intact,0.00185614,1.09E-09,0.580482824,22.4,38.5885664
LIntCal_0_179,43,1.5,Drought Induced,groundwater rise,N,Homogenized,0.00495428,2.00E-09,0.632714752,34.13,53.94215943
LIntCal_0_196,43,15,Drought Induced,groundwater rise,N,Homogenized,0.00495428,2.00E-09,0.632714752,34.13,53.94215943
LIntCal_0_185,43,50,Drought Induced,groundwater rise,N,Homogenized,0.00495428,2.00E-09,0.632714752,34.13,53.94215943
LIntCal_0_167,43,15,Drought Induced,groundwater rise,N,Intact,0.00295984,1.33E-09,0.704393721,10.98,15.58787319
LIntCal_0_170,43,50,Drought Induced,groundwater rise,N,Intact,0.00295984,1.33E-09,0.704393721,10.98,15.58787319
LIntCal_0_137,44,15,Field Moisture,precipitation,N,Homogenized,0.0035432,1.41E-09,0.69006844,22.51,32.61995288
LIntCal_0_129,44,50,Field Moisture,precipitation,N,Homogenized,0.0035432,1.41E-09,0.69006844,22.51,32.61995288
LIntCal_0_39,44,1.5,Field Moisture,precipitation,N,Intact,0.00637217,2.83E-09,0.698934907,14.9,21.31815115
LIntCal_0_4,44,15,Field Moisture,precipitation,N,Intact,0.00637217,2.83E-09,0.698934907,14.9,21.31815115
LIntCal_0_63,44,50,Field Moisture,precipitation,N,Intact,0.00637217,2.83E-09,0.698934907,14.9,21.31815115
LIntCal_0_214,45,15,Drought Induced,precipitation,N,Homogenized,0.00047056,4.56E-10,0.543216173,15.28,28.12876485
LIntCal_0_173,45,50,Drought Induced,precipitation,N,Homogenized,0.00047056,4.56E-10,0.543216173,15.28,28.12876485
LIntCal_0_189,45,1.5,Drought Induced,precipitation,N,Intact,0.00312962,1.19E-10,0.537525786,32.01,59.55063153
LIntCal_0_146,45,15,Drought Induced,precipitation,N,Intact,0.00312962,1.19E-10,0.537525786,32.01,59.55063153
LIntCal_0_259,45,50,Drought Induced,precipitation,N,Intact,0.00312962,1.19E-10,0.537525786,32.01,59.55063153
LIntCal_0_123,47,1.5,Field Moisture,groundwater rise,N,Homogenized,0.00155926,7.71E-10,0.567366339,24.77,43.65785969
LIntCal_0_87,47,15,Field Moisture,groundwater rise,N,Homogenized,0.00155926,7.71E-10,0.567366339,24.77,43.65785969
LIntCal_0_62,47,1.5,Field Moisture,groundwater rise,N,Intact,0.00206576,1.62E-09,0.562412838,19.15,34.04972058
LIntCal_0_37,47,15,Field Moisture,groundwater rise,N,Intact,0.00206576,1.62E-09,0.562412838,19.15,34.04972058
LIntCal_0_47,47,50,Field Moisture,groundwater rise,N,Intact,0.00206576,1.62E-09,0.562412838,19.15,34.04972058
LIntCal_0_128,48,1.5,Field Moisture,groundwater rise,control,Homogenized,0.00138098,2.41E-09,0.740094366,14.97,20.22715033
LIntCal_0_101,48,15,Field Moisture,groundwater rise,control,Homogenized,0.00138098,2.41E-09,0.740094366,14.97,20.22715033
LIntCal_0_122,48,50,Field Moisture,groundwater rise,control,Homogenized,0.00138098,2.41E-09,0.740094366,14.97,20.22715033
LIntCal_0_21,48,1.5,Field Moisture,groundwater rise,control,Intact,0.00199084,1.93E-09,0.719588216,7.62,10.58938964
LIntCal_0_13,48,15,Field Moisture,groundwater rise,control,Intact,0.00199084,1.93E-09,0.719588216,7.62,10.58938964
LIntCal_0_1,48,50,Field Moisture,groundwater rise,control,Intact,0.00199084,1.93E-09,0.719588216,7.62,10.58938964
LIntCal_0_182,5,1.5,Drought Induced,precipitation,N,Homogenized,0.00189109,6.38E-09,0.55409962,36.98,66.73890151
LIntCal_0_150,5,15,Drought Induced,precipitation,N,Homogenized,0.00189109,6.38E-09,0.55409962,36.98,66.73890151
LIntCal_0_254,5,50,Drought Induced,precipitation,N,Homogenized,0.00189109,6.38E-09,0.55409962,36.98,66.73890151
LIntCal_0_151,5,1.5,Drought Induced,precipitation,N,Intact,0.00368462,2.49E-09,0.572404949,24.49,42.78439598
LIntCal_0_153,5,15,Drought Induced,precipitation,N,Intact,0.00368462,2.49E-09,0.572404949,24.49,42.78439598
LIntCal_0_236,5,50,Drought Induced,precipitation,N,Intact,0.00368462,2.49E-09,0.572404949,24.49,42.78439598
LIntCal_0_93,50,1.5,Field Moisture,precipitation,C,Homogenized,0.00305984,6.83E-10,0.558677273,24.26,43.42399658
LIntCal_0_117,50,50,Field Moisture,precipitation,C,Homogenized,0.00305984,6.83E-10,0.558677273,24.26,43.42399658
LIntCal_0_70,50,15,Field Moisture,precipitation,C,Intact,0.00211765,1.82E-09,0.544949396,25.26,46.35292775
LIntCal_0_55,50,50,Field Moisture,precipitation,C,Intact,0.00211765,1.82E-09,0.544949396,25.26,46.35292775
LIntCal_0_209,51,1.5,Drought Induced,precipitation,control,Homogenized,0.00255195,6.16E-10,0.510016521,28.96,56.7824743
LIntCal_0_148,51,15,Drought Induced,precipitation,control,Homogenized,0.00255195,6.16E-10,0.510016521,28.96,56.7824743
LIntCal_0_244,51,1.5,Drought Induced,precipitation,control,Intact,0.00834801,8.49E-10,0.554997422,27.98,50.41464856
LIntCal_0_286,51,50,Drought Induced,precipitation,control,Intact,0.00834801,8.49E-10,0.554997422,27.98,50.41464856
LIntCal_0_243,52,1.5,Drought Induced,groundwater rise,control,Homogenized,0.00130205,5.22E-10,0.518226357,40.43,78.0161013
LIntCal_0_275,52,50,Drought Induced,groundwater rise,control,Homogenized,0.00130205,5.22E-10,0.518226357,40.43,78.0161013
LIntCal_0_168,52,1.5,Drought Induced,groundwater rise,control,Intact,0.00322233,4.57E-10,0.556504811,29.74,53.440688
LIntCal_0_241,52,15,Drought Induced,groundwater rise,control,Intact,0.00322233,4.57E-10,0.556504811,29.74,53.440688
LIntCal_0_260,52,50,Drought Induced,groundwater rise,control,Intact,0.00322233,4.57E-10,0.556504811,29.74,53.440688
LIntCal_0_100,53,1.5,Field Moisture,precipitation,control,Homogenized,0.00231327,7.16E-10,0.561378984,38,67.69045709
LIntCal_0_132,53,15,Field Moisture,precipitation,control,Homogenized,0.00231327,7.16E-10,0.561378984,38,67.69045709
LIntCal_0_106,53,50,Field Moisture,precipitation,control,Homogenized,0.00231327,7.16E-10,0.561378984,38,67.69045709
LIntCal_0_25,53,1.5,Field Moisture,precipitation,control,Intact,0.0006352,1.43E-09,0.5557526,4.53,8.151108971
LIntCal_0_24,53,15,Field Moisture,precipitation,control,Intact,0.0006352,1.43E-09,0.5557526,4.53,8.151108971
LIntCal_0_66,53,50,Field Moisture,precipitation,control,Intact,0.0006352,1.43E-09,0.5557526,4.53,8.151108971
LIntCal_0_193,54,1.5,Drought Induced,precipitation,C,Homogenized,0.00111395,2.15E-09,0.54685302,43.8,80.09464769
LIntCal_0_204,54,15,Drought Induced,precipitation,C,Homogenized,0.00111395,2.15E-09,0.54685302,43.8,80.09464769
LIntCal_0_256,54,50,Drought Induced,precipitation,C,Homogenized,0.00111395,2.15E-09,0.54685302,43.8,80.09464769
LIntCal_0_234,54,1.5,Drought Induced,precipitation,C,Intact,0.00234403,9.77E-10,0.571965811,26.52,46.3664077
LIntCal_0_280,54,15,Drought Induced,precipitation,C,Intact,0.00234403,9.77E-10,0.571965811,26.52,46.3664077
LIntCal_0_154,54,50,Drought Induced,precipitation,C,Intact,0.00234403,9.77E-10,0.571965811,26.52,46.3664077
LIntCal_0_142,55,1.5,Field Moisture,groundwater rise,C,Homogenized,,,0.545677423,27.48,50.35942269
LIntCal_0_77,55,15,Field Moisture,groundwater rise,C,Homogenized,,,0.545677423,27.48,50.35942269
LIntCal_0_136,55,50,Field Moisture,groundwater rise,C,Homogenized,,,0.545677423,27.48,50.35942269
LIntCal_0_32,55,1.5,Field Moisture,groundwater rise,C,Intact,0.00179202,1.95E-09,0.53838318,24.49,45.48804811
LIntCal_0_41,55,15,Field Moisture,groundwater rise,C,Intact,0.00179202,1.95E-09,0.53838318,24.49,45.48804811
LIntCal_0_11,55,50,Field Moisture,groundwater rise,C,Intact,0.00179202,1.95E-09,0.53838318,24.49,45.48804811
LIntCal_0_208,56,1.5,Drought Induced,groundwater rise,C,Homogenized,0.00255714,6.93E-10,0.550451862,30.18,54.82768262
LIntCal_0_203,56,15,Drought Induced,groundwater rise,C,Homogenized,0.00255714,6.93E-10,0.550451862,30.18,54.82768262
LIntCal_0_213,56,50,Drought Induced,groundwater rise,C,Homogenized,0.00255714,6.93E-10,0.550451862,30.18,54.82768262
LIntCal_0_224,56,1.5,Drought Induced,groundwater rise,C,Intact,0.00316194,3.87E-10,0.570827384,33.31,58.35389283
LIntCal_0_157,56,50,Drought Induced,groundwater rise,C,Intact,0.00316194,3.87E-10,0.570827384,33.31,58.35389283
LIntCal_0_96,58,1.5,Field Moisture,precipitation,N,Homogenized,0.00127129,4.90E-10,0.559226093,10.61,18.97264832
LIntCal_0_139,58,15,Field Moisture,precipitation,N,Homogenized,0.00127129,4.90E-10,0.559226093,10.61,18.97264832
LIntCal_0_49,58,1.5,Field Moisture,precipitation,N,Intact,0.00086052,5.16E-10,0.543203366,18.4,33.87313322
LIntCal_0_3,58,15,Field Moisture,precipitation,N,Intact,0.00086052,5.16E-10,0.543203366,18.4,33.87313322
LIntCal_0_50,58,50,Field Moisture,precipitation,N,Intact,0.00086052,5.16E-10,0.543203366,18.4,33.87313322
LIntCal_0_272,59,1.5,Drought Induced,groundwater rise,N,Homogenized,0.00247683,1.76E-09,0.521607986,35.66,68.36551772
LIntCal_0_163,59,15,Drought Induced,groundwater rise,N,Homogenized,0.00247683,1.76E-09,0.521607986,35.66,68.36551772
LIntCal_0_200,59,50,Drought Induced,groundwater rise,N,Homogenized,0.00247683,1.76E-09,0.521607986,35.66,68.36551772
LIntCal_0_242,59,1.5,Drought Induced,groundwater rise,N,Intact,0.00166921,1.07E-09,0.556655044,27.46,49.33037129
LIntCal_0_255,59,15,Drought Induced,groundwater rise,N,Intact,0.00166921,1.07E-09,0.556655044,27.46,49.33037129
LIntCal_0_247,59,50,Drought Induced,groundwater rise,N,Intact,0.00166921,1.07E-09,0.556655044,27.46,49.33037129
LIntCal_0_90,6,1.5,Field Moisture,groundwater rise,C,Homogenized,0.00468205,1.55E-09,0.578733829,27.3,47.17194441
LIntCal_0_105,6,15,Field Moisture,groundwater rise,C,Homogenized,0.00468205,1.55E-09,0.578733829,27.3,47.17194441
LIntCal_0_75,6,50,Field Moisture,groundwater rise,C,Homogenized,0.00468205,1.55E-09,0.578733829,27.3,47.17194441
LIntCal_0_29,6,1.5,Field Moisture,groundwater rise,C,Intact,0.00373915,7.36E-10,0.563231998,23.56,41.83000984
LIntCal_0_35,6,15,Field Moisture,groundwater rise,C,Intact,0.00373915,7.36E-10,0.563231998,23.56,41.83000984
LIntCal_0_67,6,50,Field Moisture,groundwater rise,C,Intact,0.00373915,7.36E-10,0.563231998,23.56,41.83000984
LIntCal_0_111,60,1.5,Field Moisture,groundwater rise,control,Homogenized,0.00079453,3.09E-10,0.546775907,24.36,44.5520728
LIntCal_0_127,60,15,Field Moisture,groundwater rise,control,Homogenized,0.00079453,3.09E-10,0.546775907,24.36,44.5520728
LIntCal_0_141,60,50,Field Moisture,groundwater rise,control,Homogenized,0.00079453,3.09E-10,0.546775907,24.36,44.5520728
LIntCal_0_12,60,1.5,Field Moisture,groundwater rise,control,Intact,0.00197004,4.66E-10,0.530696458,6.48,12.21036979
LIntCal_0_48,60,15,Field Moisture,groundwater rise,control,Intact,0.00197004,4.66E-10,0.530696458,6.48,12.21036979
LIntCal_0_145,62,1.5,Drought Induced,precipitation,N,Homogenized,0.00178788,1.80E-09,0.523532598,38.13,72.83214101
LIntCal_0_155,62,15,Drought Induced,precipitation,N,Homogenized,0.00178788,1.80E-09,0.523532598,38.13,72.83214101
LIntCal_0_253,62,50,Drought Induced,precipitation,N,Homogenized,0.00178788,1.80E-09,0.523532598,38.13,72.83214101
LIntCal_0_239,62,1.5,Drought Induced,precipitation,N,Intact,0.00134513,1.67E-09,0.53544606,24.3,45.38272259
LIntCal_0_158,62,15,Drought Induced,precipitation,N,Intact,0.00134513,1.67E-09,0.53544606,24.3,45.38272259
LIntCal_0_262,62,50,Drought Induced,precipitation,N,Intact,0.00134513,1.67E-09,0.53544606,24.3,45.38272259
LIntCal_0_143,63,1.5,Field Moisture,groundwater rise,N,Homogenized,0.000794,7.78E-10,0.528391432,20.38,38.56989111
LIntCal_0_95,63,15,Field Moisture,groundwater rise,N,Homogenized,0.000794,7.78E-10,0.528391432,20.38,38.56989111
LIntCal_0_84,63,50,Field Moisture,groundwater rise,N,Homogenized,0.000794,7.78E-10,0.528391432,20.38,38.56989111
LIntCal_0_40,63,1.5,Field Moisture,groundwater rise,N,Intact,0.0006678,1.01E-09,0.518575913,13.88,26.76560877
LIntCal_0_31,63,15,Field Moisture,groundwater rise,N,Intact,0.0006678,1.01E-09,0.518575913,13.88,26.76560877
LIntCal_0_65,63,50,Field Moisture,groundwater rise,N,Intact,0.0006678,1.01E-09,0.518575913,13.88,26.76560877
LIntCal_0_156,7,1.5,Drought Induced,groundwater rise,C,Homogenized,0.00956528,2.67E-09,0.546352824,41.83,76.56224732
LIntCal_0_207,7,15,Drought Induced,groundwater rise,C,Homogenized,0.00956528,2.67E-09,0.546352824,41.83,76.56224732
LIntCal_0_288,7,50,Drought Induced,groundwater rise,C,Homogenized,0.00956528,2.67E-09,0.546352824,41.83,76.56224732
LIntCal_0_177,7,15,Drought Induced,groundwater rise,C,Intact,0.00511206,1.15E-09,0.574684938,30.3,52.72454177
LIntCal_0_210,7,50,Drought Induced,groundwater rise,C,Intact,0.00511206,1.15E-09,0.574684938,30.3,52.72454177
LIntCal_0_125,8,1.5,Field Moisture,groundwater rise,control,Homogenized,0.00263274,1.97E-09,0.602737193,20.21,33.53036818
LIntCal_0_115,8,15,Field Moisture,groundwater rise,control,Homogenized,0.00263274,1.97E-09,0.602737193,20.21,33.53036818
LIntCal_0_120,8,50,Field Moisture,groundwater rise,control,Homogenized,0.00263274,1.97E-09,0.602737193,20.21,33.53036818
LIntCal_0_52,8,1.5,Field Moisture,groundwater rise,control,Intact,0.00131546,5.09E-10,0.59744186,19.46,32.57220712
LIntCal_0_19,8,15,Field Moisture,groundwater rise,control,Intact,0.00131546,5.09E-10,0.59744186,19.46,32.57220712
LIntCal_0_71,8,50,Field Moisture,groundwater rise,control,Intact,0.00131546,5.09E-10,0.59744186,19.46,32.57220712